Date~,Time~,Type,ClientIP$,Reason_Phrase,Message@,label_event_type~,label_IPpair_ID~
"2005-01-30","09:20:18","notice","-","-","Digest: generating secret for digest authentication ...","B11","S0"
"2005-01-30","09:20:18","notice","-","-","`Digest: done","B11","S0"
"2005-01-30","09:20:19","notice","-","-","Apache/2.0.40 (Red Hat Linux) configured -- resuming normal operations","B11","S0"
"2005-01-30","09:21:59","error","218.22.22.40","Directory index forbidden by rule","/var/www/html/","B02","S198"
"2005-01-30","09:56:35","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:36","error","211.59.0.204","File does not exist","/var/www/html/MSADC","B01","S154"
"2005-01-30","09:56:37","error","211.59.0.204","File does not exist","/var/www/html/c","B01","S154"
"2005-01-30","09:56:37","error","211.59.0.204","File does not exist","/var/www/html/d","B01","S154"
"2005-01-30","09:56:38","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:38","error","211.59.0.204","File does not exist","/var/www/html/_vti_bin","B01","S154"
"2005-01-30","09:56:39","error","211.59.0.204","File does not exist","/var/www/html/_mem_bin","B01","S154"
"2005-01-30","09:56:39","error","211.59.0.204","File does not exist","/var/www/html/msadc","B01","S154"
"2005-01-30","09:56:40","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:41","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:41","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:43","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","09:56:44","error","211.59.0.204","File does not exist","/var/www/html/scripts","B01","S154"
"2005-01-30","13:33:25","error","61.88.122.10","File does not exist","/var/www/html/NULL.printer","B01","S417"
"2005-01-30","16:09:24","error","24.199.102.163","Directory index forbidden by rule","/var/www/html/","B02","S335"
"2005-01-30","19:13:36","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:37","error","69.233.130.234","File does not exist","/var/www/html/MSADC","B01","S544"
"2005-01-30","19:13:40","error","69.233.130.234","File does not exist","/var/www/html/c","B01","S544"
"2005-01-30","19:13:41","error","69.233.130.234","File does not exist","/var/www/html/d","B01","S544"
"2005-01-30","19:13:41","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:42","error","69.233.130.234","File does not exist","/var/www/html/_vti_bin","B01","S544"
"2005-01-30","19:13:42","error","69.233.130.234","File does not exist","/var/www/html/_mem_bin","B01","S544"
"2005-01-30","19:13:42","error","69.233.130.234","File does not exist","/var/www/html/msadc","B01","S544"
"2005-01-30","19:13:43","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:44","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:44","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:46","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","19:13:46","error","69.233.130.234","File does not exist","/var/www/html/scripts","B01","S544"
"2005-01-30","20:13:36","error","218.26.187.153","Directory index forbidden by rule","/var/www/html/","B02","S205"
"2005-01-30","20:39:35","error","202.253.200.65","Directory index forbidden by rule","/var/www/html/","B02","S80"
"2005-01-30","21:03:22","error","218.74.23.91","Directory index forbidden by rule","/var/www/html/","B02","S219"
"2005-01-30","23:50:12","error","61.190.72.114","Directory index forbidden by rule","/var/www/html/","B02","S402"
"2005-01-31","00:30:23","error","67.181.19.171","File does not exist","/var/www/html/scripts","B01","S506"
"2005-01-31","00:30:23","error","67.181.19.171","File does not exist","/var/www/html/MSADC","B01","S506"
"2005-01-31","00:30:23","error","67.181.19.171","File does not exist","/var/www/html/c","B01","S506"
