Date~,Time~,Logging_device~,Logging_Daemon,PID~,QID~,From,To,Size~,Class,nrcpts,Protocol,Daemon,msgid~,relay,Ruleset,arg1,Ctladdr@,delay@,xdelay@,mailer,pri~,reject@,dsn@,stat@,label_event_type~,label_IPpair_ID~
"2005-01-30","09:06:27","combo","sendmail",12438,"j0U9JFTF012438","root","-",36030,"0","1","-","-","<200501300919.j0U9JFTF012438@combo.honeypotbox.com>","root@localhost","-","-","-","-","-","-",0,"-","-","-","F02","@"
"2005-01-30","09:06:49","combo","sendmail",12440,"j0U9JSOx012440","<root@combo.honeypotbox.com>","-",36326,"0","1","ESMTP","MTA","<200501300919.j0U9JFTF012438@combo.honeypotbox.com>","localhost.localdomain [127.0.0.1]","-","-","-","-","-","-",0,"-","-","-","F02","@"
"2005-01-30","09:06:49","combo","sendmail",12438,"j0U9JFTF012438","-","root",0,"-","-","-","-","-","[127.0.0.1] [127.0.0.1]","-","-","root (0/0)","00:00:34","00:00:21","relay",30241,"-","2.0.0","Sent (j0U9JSOx012440 Message accepted for delivery)","F02","@"
"2005-01-30","09:06:49","combo","sendmail",12441,"j0U9JSOx012440","-","<root@combo.honeypotbox.com>",0,"-","-","-","-","-","-","-","-","<root@combo.honeypotbox.com> (0/0)","00:00:00","00:00:00","local",66564,"-","2.0.0","Sent","F01","@"
"2005-01-30","12:48:47","combo","sendmail",26701,"j0UD1OP0026701","<china9988@21cn.com>","-",0,"0","0","ESMTP","MTA","-","[211.190.205.93]","-","-","-","-","-","-",0,"-","-","-","F06","@"
"2005-01-30","12:48:47","combo","sendmail",26701,"j0UD1OP0026701","<china9988@21cn.com>","-",0,"0","0","ESMTP","MTA","-","[211.190.205.93]","-","-","-","-","-","-",0,"-","-","-","F06","@"
"2005-01-30","12:48:49","combo","sendmail",26699,"j0UD1WP0026699","-","-",0,"-","-","-","-","-","[211.190.205.93]","check_rcpt","<china9988@21cn.com>","-","-","-","-",0,"550 5.7.1 <china9988@21cn.com>... Relaying denied. IP name lookup failed [211.190.205.93]","-","-","F06","@"
"2005-01-30","12:48:49","combo","sendmail",26700,"j0UD1WP0026700","-","-",0,"-","-","-","-","-","[211.190.205.93]","check_rcpt","<china9988@21cn.com>","-","-","-","-",0,"550 5.7.1 <china9988@21cn.com>... Relaying denied. IP name lookup failed [211.190.205.93]","-","-","F06","@"
"2005-01-30","12:48:49","combo","sendmail",26696,"j0UD1WP0026696","-","-",0,"-","-","-","-","-","[211.190.205.93]","check_rcpt","<china9988@21cn.com>","-","-","-","-",0,"550 5.7.1 <china9988@21cn.com>... Relaying denied. IP name lookup failed [211.190.205.93]","-","-","F06","@"
"2005-01-30","12:48:49","combo","sendmail",26698,"j0UD1WP0026698","-","-",0,"-","-","-","-","-","[211.190.205.93]","check_rcpt","<china9988@21cn.com>","-","-","-","-",0,"550 5.7.1 <china9988@21cn.com>... Relaying denied. IP name lookup failed [211.190.205.93]","-","-","F06","@"
