Date~,Time~,Logging_device~,Logging_Daemon,PID~,Operation@,User,Tty,UID,EUID,Remotehost@,System_message@,label_event_type~,label_IPpair_ID~
"2005-01-30","08:56:22","combo","syslogd 1.4.1",0,"restart.","-","-","-","-","-","-","D04","@"
"2005-01-30","09:01:06","combo","su(pam_unix)",12387,"session opened","news","-","0","-","-","-","D09","@"
"2005-01-30","09:01:07","combo","su(pam_unix)",12387,"session closed","news","-","-","-","-","-","D09","@"
"2005-01-31","08:54:45","combo","su(pam_unix)",28720,"session opened","news","-","0","-","-","-","D09","@"
"2005-01-31","08:54:46","combo","su(pam_unix)",28720,"session closed","news","-","-","-","-","-","D09","@"
"2005-01-31","19:55:38","combo","sshd(pam_unix)",29805,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:39","combo","sshd(pam_unix)",29807,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:39","combo","sshd(pam_unix)",29808,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29817,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29815,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29818,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29809,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29813,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29816,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","19:55:40","combo","sshd(pam_unix)",29819,"authentication failure","root","NODEVssh","0","0","68.70-84-72.reverse.theplanet.com","-","D02","S563"
"2005-01-31","23:12:16","combo","sshd(pam_unix)",30403,"authentication failure","mail","NODEVssh","0","0","211.141.89.73","-","D02","S138"
"2005-01-31","23:12:41","combo","sshd(pam_unix)",30421,"authentication failure","mail","NODEVssh","0","0","211.141.89.73","-","D02","S138"
"2005-02-01","08:59:23","combo","su(pam_unix)",31614,"session opened","news","-","0","-","-","-","D09","@"
"2005-02-01","08:59:24","combo","su(pam_unix)",31614,"session closed","news","-","-","-","-","-","D09","@"
"2005-02-01","10:26:30","combo","sshd(pam_unix)",31806,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:30","combo","sshd(pam_unix)",31807,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:30","combo","sshd(pam_unix)",31807,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31808,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31806,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31811,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31812,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31813,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31815,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31824,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31825,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:31","combo","sshd(pam_unix)",31808,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31812,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31811,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31813,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31815,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31824,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",31825,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",32001,"session opened","test","-","508","-","-","-","D10","@"
"2005-02-01","10:26:32","combo","sshd(pam_unix)",32001,"session closed","test","-","-","-","-","-","D10","@"
"2005-02-01","16:37:36","combo","sshd(pam_unix)",32603,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:36","combo","sshd(pam_unix)",32601,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:36","combo","sshd(pam_unix)",32605,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:37","combo","sshd(pam_unix)",32607,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:37","combo","sshd(pam_unix)",32609,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:38","combo","sshd(pam_unix)",32612,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:38","combo","sshd(pam_unix)",32611,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:38","combo","sshd(pam_unix)",32613,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:38","combo","sshd(pam_unix)",32614,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-01","16:37:39","combo","sshd(pam_unix)",32619,"authentication failure","nobody","NODEVssh","0","0","208.29.180.3","-","D02","S109"
"2005-02-02","05:57:03","combo","sshd(pam_unix)",1247,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:03","combo","sshd(pam_unix)",1249,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:04","combo","sshd(pam_unix)",1251,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:05","combo","sshd(pam_unix)",1253,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:06","combo","sshd(pam_unix)",1256,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:06","combo","sshd(pam_unix)",1255,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:06","combo","sshd(pam_unix)",1259,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:07","combo","sshd(pam_unix)",1261,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:07","combo","sshd(pam_unix)",1262,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:07","combo","sshd(pam_unix)",1263,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:16","combo","sshd(pam_unix)",1274,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:16","combo","sshd(pam_unix)",1275,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:17","combo","sshd(pam_unix)",1278,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:18","combo","sshd(pam_unix)",1281,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:18","combo","sshd(pam_unix)",1283,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:18","combo","sshd(pam_unix)",1280,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:19","combo","sshd(pam_unix)",1286,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:19","combo","sshd(pam_unix)",1288,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:20","combo","sshd(pam_unix)",1290,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:20","combo","sshd(pam_unix)",1291,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:28","combo","sshd(pam_unix)",1295,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:28","combo","sshd(pam_unix)",1297,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:29","combo","sshd(pam_unix)",1299,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:30","combo","sshd(pam_unix)",1301,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
"2005-02-02","05:57:31","combo","sshd(pam_unix)",1302,"authentication failure","root","NODEVssh","0","0","222.237.79.237","-","D02","S313"
