Date~,Time~,Logging_device~,Logging_Daemon,PID~,Operation,User,Source$,Port~,label_event_type~,label_IPpair_ID~
"2005-01-31","11:03:51","combo","sshd",28945,"Accepted password","test","63.203.221.245",37626,"EA","S431"
"2005-01-31","18:50:15","combo","sshd",29657,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29658,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29659,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29660,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29661,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29663,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29664,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:15","combo","sshd",29665,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29666,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29667,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29668,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29669,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29670,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29662,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29671,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29672,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29673,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29674,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29675,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29676,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29677,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29678,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","18:50:16","combo","sshd",29679,"Did not receive identification string","-","211.233.14.63",0,"ED","S153"
"2005-01-31","19:02:11","combo","sshd",29695,"Illegal user","jordan","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:13","combo","sshd",29697,"Illegal user","jordan","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:13","combo","sshd",29698,"Illegal user","jordan","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:13","combo","sshd",29700,"Illegal user","jordan","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:13","combo","sshd",29703,"Illegal user","michael","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:15","combo","sshd",29705,"Illegal user","michael","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:15","combo","sshd",29706,"Illegal user","michael","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:15","combo","sshd",29709,"Illegal user","michael","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:15","combo","sshd",29710,"Illegal user","nicole","211.233.14.63",0,"EB","S153"
"2005-01-31","19:02:17","combo","sshd",29713,"Illegal user","jordan","211.233.14.63",0,"EB","S153"
"2005-01-31","19:43:42","combo","sshd",29761,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:43","combo","sshd",29763,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:44","combo","sshd",29765,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:45","combo","sshd",29767,"Illegal user","michael","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:46","combo","sshd",29769,"Illegal user","michael","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:47","combo","sshd",29771,"Illegal user","michael","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:47","combo","sshd",29773,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:48","combo","sshd",29774,"Illegal user","nicole","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:48","combo","sshd",29777,"Illegal user","nicole","210.99.250.240",0,"EB","S135"
"2005-01-31","19:43:49","combo","sshd",29779,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:55:41","combo","sshd",29805,"Failed password","root","70.84.72.68",34497,"EC","S563"
"2005-01-31","19:55:41","combo","sshd",29807,"Failed password","root","70.84.72.68",34549,"EC","S563"
"2005-01-31","19:55:41","combo","sshd",29808,"Failed password","root","70.84.72.68",34557,"EC","S563"
"2005-01-31","19:55:42","combo","sshd",29817,"Failed password","root","70.84.72.68",35925,"EC","S563"
"2005-01-31","19:55:42","combo","sshd",29815,"Failed password","root","70.84.72.68",35923,"EC","S563"
"2005-01-31","19:55:42","combo","sshd",29818,"Failed password","root","70.84.72.68",35929,"EC","S563"
"2005-01-31","19:55:43","combo","sshd",29809,"Failed password","root","70.84.72.68",34567,"EC","S563"
"2005-01-31","19:55:43","combo","sshd",29813,"Failed password","root","70.84.72.68",35126,"EC","S563"
"2005-01-31","19:55:43","combo","sshd",29816,"Failed password","root","70.84.72.68",35924,"EC","S563"
"2005-01-31","19:55:43","combo","sshd",29819,"Failed password","root","70.84.72.68",35933,"EC","S563"
"2005-01-31","19:59:10","combo","sshd",29832,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:59:11","combo","sshd",29834,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:59:12","combo","sshd",29836,"Illegal user","jordan","210.99.250.240",0,"EB","S135"
"2005-01-31","19:59:13","combo","sshd",29838,"Illegal user","michael","210.99.250.240",0,"EB","S135"
"2005-01-31","19:59:14","combo","sshd",29840,"Illegal user","michael","210.99.250.240",0,"EB","S135"
