#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2021-02-09 00:10:18
#  ~ Dataframe name: "http_error_log"
#  ~ Number of events in the dataframe: 3692
#  ~ Number of unique labels ('label_event_type') in the dataframe: 12
#  ~ Selected features set for the clustering: ['Type', 'Reason_Phrase', 'Message@']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.2667928262068673  MinPts=2 (The EPS parameter was calculated in 0.009709 seconds)
#  ~ The DBSCAN clustering process was performed in 0.192506 seconds
#  ~ Results summary: (24 Clus. | 7 Outl. | Homg.: 99.87% | Comp.: 91.22% | V-measure: 95.35% | AR: 99.22% | AMI: 95.27%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 33 items. MV:["B110"]. Details:{'B11': 33}
#       Cluster [1] contains 695 items. MV:["B021"]. Details:{'B02': 695}
#       Cluster [2] contains 2291 items. MV:["B012"]. Details:{'B01': 2291}
#       Cluster [3] contains 3 items. MV:["B053"]. Details:{'B05': 3}
#       Cluster [4] contains 135 items. MV:["B124"]. Details:{'B12': 135}
#       Cluster [5] contains 161 items. MV:["B105"]. Details:{'B10': 160, 'B12': 1}
#       Cluster [6] contains 132 items. MV:["B036"]. Details:{'B03': 132}
#       Cluster [7] contains 4 items. MV:["B107"]. Details:{'B10': 4}
#       Cluster [8] contains 13 items. MV:["B108"]. Details:{'B10': 13}
#       Cluster [9] contains 4 items. MV:["B109"]. Details:{'B10': 4}
#       Cluster [10] contains 4 items. MV:["B1010"]. Details:{'B10': 4}
#       Cluster [11] contains 36 items. MV:["B0711"]. Details:{'B07': 36}
#       Cluster [12] contains 13 items. MV:["B0712"]. Details:{'B07': 13}
#       Cluster [13] contains 4 items. MV:["B0813"]. Details:{'B08': 4}
#       Cluster [14] contains 20 items. MV:["B1014"]. Details:{'B10': 20}
#       Cluster [15] contains 2 items. MV:["B1015"]. Details:{'B10': 2}
#       Cluster [16] contains 2 items. MV:["B1016"]. Details:{'B10': 2}
#       Cluster [17] contains 2 items. MV:["B1017"]. Details:{'B10': 2}
#       Cluster [18] contains 2 items. MV:["B1018"]. Details:{'B10': 2}
#       Cluster [19] contains 57 items. MV:["B1019"]. Details:{'B10': 57}
#       Cluster [20] contains 23 items. MV:["B0420"]. Details:{'B04': 23}
#       Cluster [21] contains 13 items. MV:["B0921"]. Details:{'B09': 13}
#       Cluster [22] contains 13 items. MV:["B1022"]. Details:{'B10': 13}
#       Cluster [23] contains 23 items. MV:["B0623"]. Details:{'B06': 23}
#
#  ~ Details of outliers: {'B05': 1, 'B07': 1, 'B10': 4, 'B11': 1}
#
#  ~ Confusion matrix:
#     +--------+-----------------------------------------------------------------------------------+
#     | Actual +                                    Predicted                                      |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |        | B01  | B02  | B03  | B04  | B05  | B06  | B07  | B08  | B09  | B10  | B11  | B12  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#     |  B01   | 2291 |      |      |      |      |      |      |      |      |      |      |      |
#     |  B02   |      | 695  |      |      |      |      |      |      |      |      |      |      |
#     |  B03   |      |      | 132  |      |      |      |      |      |      |      |      |      |
#     |  B04   |      |      |      |  23  |      |      |      |      |      |      |      |      |
#     |  B05   |      |      |      |      |  3   |      |      |      |      |      |      |      |
#     |  B06   |      |      |      |      |      |  23  |      |      |      |      |      |      |
#     |  B07   |      |      |      |      |      |      |  49  |      |      |      |      |      |
#     |  B08   |      |      |      |      |      |      |      |  4   |      |      |      |      |
#     |  B09   |      |      |      |      |      |      |      |      |  13  |      |      |      |
#     |  B10   |      |      |      |      |      |      |      |      |      | 283  |      |      |
#     |  B11   |      |      |      |      |      |      |      |      |      |      |  33  |      |
#     |  B12   |      |      |      |      |      |      |      |      |      |  1   |      | 135  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Message@,ClientIP$,Type,Reason_Phrase,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107076818,"Digest: generating secret for digest authentication ...",9000,"notice","-","B11","S0","B_0"
1107076818,"`Digest: done",9000,"notice","-","B11","S0","B_0"
1107076819,"Apache/2.0.40 (Red Hat Linux) configured -- resuming normal operations",9000,"notice","-","B11","S0","B_0"
1107076919,"/var/www/html/",9218022022040,"error","Directory index forbidden by rule","B02","S198","B_1"
1107078995,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078996,"/var/www/html/MSADC",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078997,"/var/www/html/c",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078997,"/var/www/html/d",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078998,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078998,"/var/www/html/_vti_bin",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078999,"/var/www/html/_mem_bin",9211059000204,"error","File does not exist","B01","S154","B_2"
1107078999,"/var/www/html/msadc",9211059000204,"error","File does not exist","B01","S154","B_2"
1107079000,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107079001,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107079001,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107079003,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107079004,"/var/www/html/scripts",9211059000204,"error","File does not exist","B01","S154","B_2"
1107092005,"/var/www/html/NULL.printer",9061088122010,"error","File does not exist","B01","S417","B_2"
1107101364,"/var/www/html/",9024199102163,"error","Directory index forbidden by rule","B02","S335","B_1"
1107112416,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112417,"/var/www/html/MSADC",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112420,"/var/www/html/c",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112421,"/var/www/html/d",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112421,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112422,"/var/www/html/_vti_bin",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112422,"/var/www/html/_mem_bin",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112422,"/var/www/html/msadc",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112423,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112424,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112424,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112426,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107112426,"/var/www/html/scripts",9069233130234,"error","File does not exist","B01","S544","B_2"
1107116016,"/var/www/html/",9218026187153,"error","Directory index forbidden by rule","B02","S205","B_1"
1107117575,"/var/www/html/",9202253200065,"error","Directory index forbidden by rule","B02","S80","B_1"
1107119002,"/var/www/html/",9218074023091,"error","Directory index forbidden by rule","B02","S219","B_1"
1107129012,"/var/www/html/",9061190072114,"error","Directory index forbidden by rule","B02","S402","B_1"
1107131423,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131423,"/var/www/html/MSADC",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131423,"/var/www/html/c",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131424,"/var/www/html/d",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131424,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131424,"/var/www/html/_vti_bin",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131424,"/var/www/html/_mem_bin",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131425,"/var/www/html/msadc",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131425,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131425,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131426,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131426,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107131427,"/var/www/html/scripts",9067181019171,"error","File does not exist","B01","S506","B_2"
1107134072,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107134072,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107134076,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107134076,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107134076,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107134080,"/var/www/html/sumthin",9211022073068,"error","File does not exist","B01","S151","B_2"
1107137140,"/var/www/html/",9211022102234,"error","Directory index forbidden by rule","B02","S150","B_1"
1107137919,"/var/www/html/default.ida",9065202015194,"error","File does not exist","B01","S460","B_2"
1107141975,"/var/www/html/",9061010007127,"error","Directory index forbidden by rule","B02","S362","B_1"
