#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2021-02-09 00:10:18
#  ~ Dataframe name: "http_ssl_error"
#  ~ Number of events in the dataframe: 374
#  ~ Number of unique labels ('label_event_type') in the dataframe: 4
#  ~ Selected features set for the clustering: ['Type', 'Message@']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.12346400723600937  MinPts=2 (The EPS parameter was calculated in 0.005108 seconds)
#  ~ The DBSCAN clustering process was performed in 0.003224 seconds
#  ~ Results summary: (4 Clus. | 0 Outl. | Homg.: 100.00% | Comp.: 100.00% | V-measure: 100.00% | AR: 100.00% | AMI: 100.00%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 22 items. MV:["C040"]. Details:{'C04': 22}
#       Cluster [1] contains 183 items. MV:["C021"]. Details:{'C02': 183}
#       Cluster [2] contains 142 items. MV:["C012"]. Details:{'C01': 142}
#       Cluster [3] contains 27 items. MV:["C033"]. Details:{'C03': 27}
#
#  ~ Confusion matrix:
#     +--------+---------------------------+
#     | Actual +        Predicted          |
#     +--------+------+------+------+------+
#     |        | C01  | C02  | C03  | C04  |
#     +--------+------+------+------+------+
#     |  C01   | 142  |      |      |      |
#     |  C02   |      | 183  |      |      |
#     |  C03   |      |      |  27  |      |
#     |  C04   |      |      |      |  22  |
#     +--------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Message@,Type,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107076818,"RSA server certificate is a CA certificate (BasicConstraints: CA == TRUE !?)","warn","C04","@","C_0"
1107076818,"RSA server certificate CommonName (CN) `localhost.localdomain' does NOT match server name!?","warn","C04","@","C_0"
1107134071,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S151","C_1"
1107134071,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S151","C_1"
1107134075,"SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","error","C01","S151","C_2"
1107134075,"SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","error","C01","S151","C_2"
1107134075,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S151","C_1"
1107134080,"SSL handshake interrupted by system [Hint: Stop button pressed in browser?!]","error","C01","S151","C_2"
1107462292,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462292,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
1107462295,"Spurious SSL handshake interrupt [Hint: Usually just one of those OpenSSL confusions!?]","error","C02","S125","C_1"
