#------------------------------------------------------------------------------------------------------------
#  ~ DateTime: 2021-02-09 00:10:18
#  ~ Dataframe name: "syslog_messages"
#  ~ Number of events in the dataframe: 1166
#  ~ Number of unique labels ('label_event_type') in the dataframe: 11
#  ~ Selected features set for the clustering: ['Logging_Daemon', 'Operation@', 'Tty', 'System_message@', 'EUID']
#  ~ The dataframe was scaled using the scaler: MinMaxScaler
#  ~ Parameters:  EPS=0.2480812289451326  MinPts=2 (The EPS parameter was calculated in 0.013473 seconds)
#  ~ The DBSCAN clustering process was performed in 0.020579 seconds
#  ~ Results summary: (24 Clus. | 28 Outl. | Homg.: 100.00% | Comp.: 85.64% | V-measure: 92.26% | AR: 97.01% | AMI: 91.93%)
#
#  ~ Details of clusters:
#       Cluster [0] contains 8 items. MV:["D040"]. Details:{'D04': 8}
#       Cluster [1] contains 94 items. MV:["D091"]. Details:{'D09': 94}
#       Cluster [2] contains 702 items. MV:["D022"]. Details:{'D02': 702}
#       Cluster [3] contains 80 items. MV:["D103"]. Details:{'D10': 80}
#       Cluster [4] contains 12 items. MV:["D064"]. Details:{'D06': 12}
#       Cluster [5] contains 13 items. MV:["D035"]. Details:{'D03': 13}
#       Cluster [6] contains 7 items. MV:["D076"]. Details:{'D07': 7}
#       Cluster [7] contains 8 items. MV:["D017"]. Details:{'D01': 8}
#       Cluster [8] contains 140 items. MV:["D078"]. Details:{'D07': 140}
#       Cluster [9] contains 2 items. MV:["D079"]. Details:{'D07': 2}
#       Cluster [10] contains 2 items. MV:["D0710"]. Details:{'D07': 2}
#       Cluster [11] contains 2 items. MV:["D0711"]. Details:{'D07': 2}
#       Cluster [12] contains 2 items. MV:["D0712"]. Details:{'D07': 2}
#       Cluster [13] contains 2 items. MV:["D0713"]. Details:{'D07': 2}
#       Cluster [14] contains 6 items. MV:["D0814"]. Details:{'D08': 6}
#       Cluster [15] contains 5 items. MV:["D0815"]. Details:{'D08': 5}
#       Cluster [16] contains 3 items. MV:["D0816"]. Details:{'D08': 3}
#       Cluster [17] contains 2 items. MV:["D0717"]. Details:{'D07': 2}
#       Cluster [18] contains 3 items. MV:["D0518"]. Details:{'D05': 3}
#       Cluster [19] contains 30 items. MV:["D0719"]. Details:{'D07': 30}
#       Cluster [20] contains 3 items. MV:["D0720"]. Details:{'D07': 3}
#       Cluster [21] contains 6 items. MV:["D0721"]. Details:{'D07': 6}
#       Cluster [22] contains 3 items. MV:["D1122"]. Details:{'D11': 3}
#       Cluster [23] contains 3 items. MV:["D0823"]. Details:{'D08': 3}
#
#  ~ Details of outliers: {'D04': 2, 'D06': 2, 'D07': 22, 'D11': 2}
#
#  ~ Confusion matrix:
#     +--------+----------------------------------------------------------------------------+
#     | Actual +                                 Predicted                                  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#     |        | D01  | D02  | D03  | D04  | D05  | D06  | D07  | D08  | D09  | D10  | D11  |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#     |  D01   |  8   |      |      |      |      |      |      |      |      |      |      |
#     |  D02   |      | 702  |      |      |      |      |      |      |      |      |      |
#     |  D03   |      |      |  13  |      |      |      |      |      |      |      |      |
#     |  D04   |      |      |      |  8   |      |      |      |      |      |      |      |
#     |  D05   |      |      |      |      |  3   |      |      |      |      |      |      |
#     |  D06   |      |      |      |      |      |  12  |      |      |      |      |      |
#     |  D07   |      |      |      |      |      |      | 198  |      |      |      |      |
#     |  D08   |      |      |      |      |      |      |      |  17  |      |      |      |
#     |  D09   |      |      |      |      |      |      |      |      |  94  |      |      |
#     |  D10   |      |      |      |      |      |      |      |      |      |  80  |      |
#     |  D11   |      |      |      |      |      |      |      |      |      |      |  3   |
#     +--------+------+------+------+------+------+------+------+------+------+------+------+
#
#  ~ Note: to import this file into Python, use: "DF = pandas.read_csv(file_name, sep=',', comment='#')"
#
#------------------------------------------------------------------------------------------------------------
DateTime~,Logging_device~,System_message@,Remotehost@,User,Tty,Logging_Daemon,Operation@,UID,EUID,PID~,label_event_type~,label_IPpair_ID~,phase1_predicted_label~
1107075382,"combo","-","-","-","-","syslogd 1.4.1","restart.","-","-",0,"D04","@","D_0"
1107075666,"combo","-","-","news","-","su(pam_unix)","session opened","0","-",12387,"D09","@","D_1"
1107075667,"combo","-","-","news","-","su(pam_unix)","session closed","-","-",12387,"D09","@","D_1"
1107161685,"combo","-","-","news","-","su(pam_unix)","session opened","0","-",28720,"D09","@","D_1"
1107161686,"combo","-","-","news","-","su(pam_unix)","session closed","-","-",28720,"D09","@","D_1"
1107201338,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29805,"D02","S563","D_2"
1107201339,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29807,"D02","S563","D_2"
1107201339,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29808,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29817,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29815,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29818,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29809,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29813,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29816,"D02","S563","D_2"
1107201340,"combo","-","68.70-84-72.reverse.theplanet.com","root","NODEVssh","sshd(pam_unix)","authentication failure","0","0",29819,"D02","S563","D_2"
1107213136,"combo","-","211.141.89.73","mail","NODEVssh","sshd(pam_unix)","authentication failure","0","0",30403,"D02","S138","D_2"
1107213161,"combo","-","211.141.89.73","mail","NODEVssh","sshd(pam_unix)","authentication failure","0","0",30421,"D02","S138","D_2"
1107248363,"combo","-","-","news","-","su(pam_unix)","session opened","0","-",31614,"D09","@","D_1"
1107248364,"combo","-","-","news","-","su(pam_unix)","session closed","-","-",31614,"D09","@","D_1"
1107253590,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31806,"D10","@","D_3"
1107253590,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31807,"D10","@","D_3"
1107253590,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31807,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31808,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31806,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31811,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31812,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31813,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31815,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31824,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session opened","508","-",31825,"D10","@","D_3"
1107253591,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31808,"D10","@","D_3"
1107253592,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31812,"D10","@","D_3"
1107253592,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31811,"D10","@","D_3"
1107253592,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31813,"D10","@","D_3"
1107253592,"combo","-","-","test","-","sshd(pam_unix)","session closed","-","-",31815,"D10","@","D_3"
